fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378972,65,2298,M,4.0,1.0,DM,defensive midfielder,R,deep
1378972,65,18931,F,5.0,1.0,W,wide forward / winger,R,deep
1378972,65,67943,D,,,FB,full-back / wing-back,UNK,UNK
1378972,65,8598,F,,,W,wide forward / winger,UNK,UNK
1378972,65,18933,G,,,GK,goalkeeper,UNK,UNK
1378972,65,9366,F,,,W,wide forward / winger,UNK,UNK
1378972,65,141901,F,,,W,wide forward / winger,UNK,UNK
1378972,65,19305,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,65,362711,D,,,FB,full-back / wing-back,UNK,UNK
1378972,65,18739,D,,,FB,full-back / wing-back,UNK,UNK
1378972,65,329357,D,,,FB,full-back / wing-back,UNK,UNK
1378972,55,281,G,1.0,1.0,GK,goalkeeper,L,deep
1378972,55,342022,D,2.0,4.0,FB,full-back / wing-back,L,high
1378972,55,19495,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378972,55,36922,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378972,55,19346,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378972,55,263538,M,3.0,2.0,DM,defensive midfielder,C,deep
1378972,55,47438,M,3.0,1.0,DM,defensive midfielder,C,deep
1378972,55,106725,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378972,55,319517,M,4.0,2.0,DM,defensive midfielder,R,deep
1378972,55,153066,M,4.0,1.0,DM,defensive midfielder,R,deep
1378972,55,196156,F,5.0,1.0,W,wide forward / winger,R,deep
1378972,55,44871,D,,,FB,full-back / wing-back,UNK,UNK
1378972,55,292,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,55,178077,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,55,61742,G,,,GK,goalkeeper,UNK,UNK
1378972,55,15799,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,55,1119,D,,,FB,full-back / wing-back,UNK,UNK
1378972,55,180308,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,55,15745,D,,,FB,full-back / wing-back,UNK,UNK
1378972,55,430827,D,,,FB,full-back / wing-back,UNK,UNK
1378977,33,50132,G,1.0,1.0,GK,goalkeeper,L,deep
1378977,33,342970,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378977,33,532,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378977,33,891,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378977,33,886,M,3.0,4.0,CM,central / attacking midfielder,C,high
1378977,33,747,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378977,33,1485,M,3.0,2.0,DM,defensive midfielder,C,deep
1378977,33,382452,M,3.0,1.0,DM,defensive midfielder,C,deep
1378977,33,20589,F,4.0,2.0,W,wide forward / winger,R,deep
1378977,33,19220,F,4.0,1.0,W,wide forward / winger,R,deep
1378977,33,1165,F,5.0,1.0,W,wide forward / winger,R,deep
1378977,33,2931,G,,,GK,goalkeeper,UNK,UNK
1378977,33,328101,D,,,FB,full-back / wing-back,UNK,UNK
1378977,33,402329,D,,,FB,full-back / wing-back,UNK,UNK
1378977,33,2935,D,,,FB,full-back / wing-back,UNK,UNK
1378977,33,284322,M,,,CM,central / attacking midfielder,UNK,UNK
1378977,33,51494,M,,,CM,central / attacking midfielder,UNK,UNK
1378977,33,157997,F,,,W,wide forward / winger,UNK,UNK
1378977,33,115589,F,,,W,wide forward / winger,UNK,UNK
1378977,33,70100,F,,,W,wide forward / winger,UNK,UNK
1378977,42,19465,G,1.0,1.0,GK,goalkeeper,L,deep
1378977,42,19959,D,2.0,4.0,FB,full-back / wing-back,L,high
1378977,42,22090,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378977,42,22224,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378977,42,157052,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378977,42,37127,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378977,42,47315,M,3.0,2.0,DM,defensive midfielder,C,deep
1378977,42,2937,M,3.0,1.0,DM,defensive midfielder,C,deep
1378977,42,1460,F,4.0,3.0,W,wide forward / winger,R,mid
1378977,42,18979,F,4.0,2.0,W,wide forward / winger,R,deep
1378977,42,127769,F,4.0,1.0,W,wide forward / winger,R,deep
1378977,42,2273,G,,,GK,goalkeeper,UNK,UNK
1378977,42,333682,D,,,FB,full-back / wing-back,UNK,UNK
1378977,42,38746,D,,,FB,full-back / wing-back,UNK,UNK
1378977,42,313245,D,,,FB,full-back / wing-back,UNK,UNK
1378977,42,47311,M,,,CM,central / attacking midfielder,UNK,UNK
1378977,42,313236,M,,,CM,central / attacking midfielder,UNK,UNK
1378977,42,1946,F,,,W,wide forward / winger,UNK,UNK
1378977,42,136723,F,,,W,wide forward / winger,UNK,UNK
1378977,42,978,F,,,W,wide forward / winger,UNK,UNK
1378978,63,80296,G,1.0,1.0,GK,goalkeeper,L,deep
1378978,63,19201,D,2.0,4.0,FB,full-back / wing-back,L,high
1378978,63,19321,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378978,63,64003,D,2.0,2.0,FB,full-back / wing-back,L,deep
